neighbourhood_cleansed,room_type,mi,mkt_rate,n_days
中山區,Entire home/apt,1,1.0,163
中山區,Entire home/apt,2,0.3788,17953
中山區,Entire home/apt,3,0.2,17980
中山區,Entire home/apt,4,0.1413,17400
中山區,Entire home/apt,5,0.2316,17980
中山區,Entire home/apt,6,0.2374,17400
中山區,Entire home/apt,7,0.2638,17980
中山區,Entire home/apt,8,0.3667,17980
中山區,Entire home/apt,9,0.3479,16240
中山區,Entire home/apt,10,0.3828,17980
中山區,Entire home/apt,11,0.4999,17400
中山區,Entire home/apt,12,0.4947,17980
中山區,Hotel room,1,1.0,9
中山區,Hotel room,2,0.3185,496
中山區,Hotel room,3,0.0907,496
中山區,Hotel room,4,0.1271,480
中山區,Hotel room,5,0.6492,496
中山區,Hotel room,6,0.6562,480
中山區,Hotel room,7,0.6532,496
中山區,Hotel room,8,0.752,496
中山區,Hotel room,9,0.8125,448
中山區,Hotel room,10,0.8125,496
中山區,Hotel room,11,0.8125,480
中山區,Hotel room,12,0.8125,496
中山區,Private room,1,1.0,58
中山區,Private room,2,0.4758,5275
中山區,Private room,3,0.2956,5301
中山區,Private room,4,0.2957,5130
中山區,Private room,5,0.4158,5301
中山區,Private room,6,0.4029,5130
中山區,Private room,7,0.4039,5301
中山區,Private room,8,0.5067,5301
中山區,Private room,9,0.4954,4788
中山區,Private room,10,0.5505,5301
中山區,Private room,11,0.7193,5130
中山區,Private room,12,0.7135,5301
中山區,Shared room,2,0.4194,93
中山區,Shared room,3,0.3333,93
中山區,Shared room,4,0.0,90
中山區,Shared room,5,0.0,93
中山區,Shared room,6,0.0,90
中山區,Shared room,7,0.043,93
中山區,Shared room,8,0.3333,93
中山區,Shared room,9,0.3333,84
中山區,Shared room,10,0.3333,93
中山區,Shared room,11,0.3333,90
中山區,Shared room,12,0.3333,93
中正區,Entire home/apt,1,1.0,128
中正區,Entire home/apt,2,0.5704,17049
中正區,Entire home/apt,3,0.2856,17081
中正區,Entire home/apt,4,0.1975,16530
中正區,Entire home/apt,5,0.3481,17081
中正區,Entire home/apt,6,0.3407,16530
中正區,Entire home/apt,7,0.4445,17081
中正區,Entire home/apt,8,0.4744,17081
中正區,Entire home/apt,9,0.4564,15428
中正區,Entire home/apt,10,0.5026,17081
中正區,Entire home/apt,11,0.5978,16530
中正區,Entire home/apt,12,0.5942,17081
中正區,Hotel room,1,1.0,5
中正區,Hotel room,2,0.6275,247
中正區,Hotel room,3,0.2863,248
中正區,Hotel room,4,0.2125,240
中正區,Hotel room,5,0.3548,248
中正區,Hotel room,6,0.2875,240
中正區,Hotel room,7,0.379,248
中正區,Hotel room,8,0.254,248
中正區,Hotel room,9,0.875,224
中正區,Hotel room,10,0.875,248
中正區,Hotel room,11,0.875,240
中正區,Hotel room,12,0.875,248
中正區,Private room,1,1.0,80
中正區,Private room,2,0.5678,10328
中正區,Private room,3,0.4065,10385
中正區,Private room,4,0.4023,10050
中正區,Private room,5,0.4391,10385
中正區,Private room,6,0.4411,10050
中正區,Private room,7,0.4127,10385
中正區,Private room,8,0.3906,10385
中正區,Private room,9,0.411,9380
中正區,Private room,10,0.406,10385
中正區,Private room,11,0.4683,10050
中正區,Private room,12,0.462,10385
中正區,Shared room,1,1.0,12
中正區,Shared room,2,0.4409,2477
中正區,Shared room,3,0.5891,2480
中正區,Shared room,4,0.43,2400
中正區,Shared room,5,0.3988,2480
中正區,Shared room,6,0.3846,2400
中正區,Shared room,7,0.3786,2480
中正區,Shared room,8,0.3452,2480
中正區,Shared room,9,0.3375,2240
中正區,Shared room,10,0.3375,2480
中正區,Shared room,11,0.3375,2400
中正區,Shared room,12,0.3375,2480
信義區,Entire home/apt,1,1.0,205
信義區,Entire home/apt,2,0.51,15782
信義區,Entire home/apt,3,0.2464,15810
信義區,Entire home/apt,4,0.1507,15300
信義區,Entire home/apt,5,0.2616,15810
信義區,Entire home/apt,6,0.2863,15300
信義區,Entire home/apt,7,0.3322,15810
信義區,Entire home/apt,8,0.4677,15810
信義區,Entire home/apt,9,0.4534,14280
信義區,Entire home/apt,10,0.4753,15810
信義區,Entire home/apt,11,0.6168,15300
信義區,Entire home/apt,12,0.617,15810
信義區,Hotel room,1,1.0,14
信義區,Hotel room,2,0.4101,434
信義區,Hotel room,3,0.182,434
信義區,Hotel room,4,0.269,420
信義區,Hotel room,5,0.9608,434
信義區,Hotel room,6,0.9952,420
信義區,Hotel room,7,1.0,434
信義區,Hotel room,8,1.0,434
信義區,Hotel room,9,1.0,392
信義區,Hotel room,10,1.0,434
信義區,Hotel room,11,1.0,420
信義區,Hotel room,12,1.0,434
信義區,Private room,1,1.0,71
信義區,Private room,2,0.4058,5503
信義區,Private room,3,0.2615,5518
信義區,Private room,4,0.1873,5340
信義區,Private room,5,0.3594,5518
信義區,Private room,6,0.3406,5340
信義區,Private room,7,0.3601,5518
信義區,Private room,8,0.4536,5518
信義區,Private room,9,0.4567,4984
信義區,Private room,10,0.4565,5518
信義區,Private room,11,0.5674,5340
信義區,Private room,12,0.5663,5518
信義區,Shared room,1,1.0,2
信義區,Shared room,2,0.9835,182
信義區,Shared room,3,0.9946,186
信義區,Shared room,4,0.6667,180
信義區,Shared room,5,0.6667,186
信義區,Shared room,6,0.6667,180
信義區,Shared room,7,0.6667,186
信義區,Shared room,8,0.6667,186
信義區,Shared room,9,0.6667,168
信義區,Shared room,10,0.6667,186
信義區,Shared room,11,0.6667,180
信義區,Shared room,12,0.6667,186
內湖區,Entire home/apt,1,1.0,27
內湖區,Entire home/apt,2,0.3758,1107
內湖區,Entire home/apt,3,0.1855,1116
內湖區,Entire home/apt,4,0.1694,1080
內湖區,Entire home/apt,5,0.2222,1116
內湖區,Entire home/apt,6,0.2102,1080
內湖區,Entire home/apt,7,0.2939,1116
內湖區,Entire home/apt,8,0.4086,1116
內湖區,Entire home/apt,9,0.374,1008
內湖區,Entire home/apt,10,0.3683,1116
內湖區,Entire home/apt,11,0.5,1080
內湖區,Entire home/apt,12,0.5,1116
內湖區,Private room,1,1.0,24
內湖區,Private room,2,0.5168,834
內湖區,Private room,3,0.4217,837
內湖區,Private room,4,0.1765,810
內湖區,Private room,5,0.1481,837
內湖區,Private room,6,0.1481,810
內湖區,Private room,7,0.1983,837
內湖區,Private room,8,0.4839,837
內湖區,Private room,9,0.4815,756
內湖區,Private room,10,0.509,837
內湖區,Private room,11,0.7037,810
內湖區,Private room,12,0.7037,837
北投區,Entire home/apt,1,1.0,35
北投區,Entire home/apt,2,0.4122,1145
北投區,Entire home/apt,3,0.204,1147
北投區,Entire home/apt,4,0.2306,1110
北投區,Entire home/apt,5,0.4263,1147
北投區,Entire home/apt,6,0.3649,1110
北投區,Entire home/apt,7,0.3069,1147
北投區,Entire home/apt,8,0.3147,1147
北投區,Entire home/apt,9,0.3301,1036
北投區,Entire home/apt,10,0.3173,1147
北投區,Entire home/apt,11,0.4279,1110
北投區,Entire home/apt,12,0.4054,1147
北投區,Private room,1,1.0,21
北投區,Private room,2,0.2799,711
北投區,Private room,3,0.1206,713
北投區,Private room,4,0.3014,690
北投區,Private room,5,0.3703,713
北投區,Private room,6,0.6609,690
北投區,Private room,7,0.6606,713
北投區,Private room,8,0.6985,713
北投區,Private room,9,0.6957,644
北投區,Private room,10,0.7125,713
北投區,Private room,11,0.8623,690
北投區,Private room,12,0.8696,713
北投區,Shared room,1,1.0,4
北投區,Shared room,2,0.0806,124
北投區,Shared room,3,0.121,124
北投區,Shared room,4,0.0,120
北投區,Shared room,5,0.0,124
北投區,Shared room,6,0.0,120
北投區,Shared room,7,0.0645,124
北投區,Shared room,8,0.0645,124
北投區,Shared room,9,0.0,112
北投區,Shared room,10,0.0,124
北投區,Shared room,11,0.8333,120
北投區,Shared room,12,1.0,124
南港區,Entire home/apt,1,1.0,37
南港區,Entire home/apt,2,0.5593,1239
南港區,Entire home/apt,3,0.4371,1240
南港區,Entire home/apt,4,0.1467,1200
南港區,Entire home/apt,5,0.1968,1240
南港區,Entire home/apt,6,0.1825,1200
南港區,Entire home/apt,7,0.2411,1240
南港區,Entire home/apt,8,0.4145,1240
南港區,Entire home/apt,9,0.3438,1120
南港區,Entire home/apt,10,0.3645,1240
南港區,Entire home/apt,11,0.4733,1200
南港區,Entire home/apt,12,0.4742,1240
南港區,Private room,1,1.0,28
南港區,Private room,2,0.4227,1048
南港區,Private room,3,0.2524,1054
南港區,Private room,4,0.1176,1020
南港區,Private room,5,0.2628,1054
南港區,Private room,6,0.2363,1020
南港區,Private room,7,0.2391,1054
南港區,Private room,8,0.2647,1054
南港區,Private room,9,0.2647,952
南港區,Private room,10,0.2685,1054
南港區,Private room,11,0.2941,1020
南港區,Private room,12,0.2941,1054
南港區,Shared room,1,1.0,2
南港區,Shared room,2,0.9516,62
南港區,Shared room,3,0.6774,62
南港區,Shared room,4,0.0,60
南港區,Shared room,5,0.0,62
南港區,Shared room,6,0.0,60
南港區,Shared room,7,0.0645,62
南港區,Shared room,8,0.5,62
南港區,Shared room,9,0.5,56
南港區,Shared room,10,0.5,62
南港區,Shared room,11,0.5,60
南港區,Shared room,12,0.5,62
士林區,Entire home/apt,1,1.0,106
士林區,Entire home/apt,2,0.5304,3886
士林區,Entire home/apt,3,0.3925,3906
士林區,Entire home/apt,4,0.2791,3780
士林區,Entire home/apt,5,0.35,3906
士林區,Entire home/apt,6,0.341,3780
士林區,Entire home/apt,7,0.4427,3906
士林區,Entire home/apt,8,0.6285,3906
士林區,Entire home/apt,9,0.604,3528
士林區,Entire home/apt,10,0.5855,3906
士林區,Entire home/apt,11,0.7143,3780
士林區,Entire home/apt,12,0.7143,3906
士林區,Private room,1,1.0,50
士林區,Private room,2,0.397,1640
士林區,Private room,3,0.3135,1643
士林區,Private room,4,0.2692,1590
士林區,Private room,5,0.395,1643
士林區,Private room,6,0.3767,1590
士林區,Private room,7,0.3573,1643
士林區,Private room,8,0.3494,1643
士林區,Private room,9,0.3383,1484
士林區,Private room,10,0.3457,1643
士林區,Private room,11,0.4616,1590
士林區,Private room,12,0.4467,1643
士林區,Shared room,1,1.0,19
士林區,Shared room,2,0.7647,680
士林區,Shared room,3,0.6921,682
士林區,Shared room,4,0.2333,660
士林區,Shared room,5,0.1613,682
士林區,Shared room,6,0.0909,660
士林區,Shared room,7,0.0909,682
士林區,Shared room,8,0.0909,682
士林區,Shared room,9,0.0909,616
士林區,Shared room,10,0.0909,682
士林區,Shared room,11,0.0909,660
士林區,Shared room,12,0.0909,682
大同區,Entire home/apt,1,1.0,136
大同區,Entire home/apt,2,0.5937,8415
大同區,Entire home/apt,3,0.324,8432
大同區,Entire home/apt,4,0.2074,8160
大同區,Entire home/apt,5,0.3888,8432
大同區,Entire home/apt,6,0.4005,8160
大同區,Entire home/apt,7,0.4246,8432
大同區,Entire home/apt,8,0.5718,8432
大同區,Entire home/apt,9,0.5618,7616
大同區,Entire home/apt,10,0.5633,8432
大同區,Entire home/apt,11,0.7359,8160
大同區,Entire home/apt,12,0.7321,8432
大同區,Hotel room,1,1.0,3
大同區,Hotel room,2,0.5806,701
大同區,Hotel room,3,0.3422,713
大同區,Hotel room,4,0.3043,690
大同區,Hotel room,5,0.3114,713
大同區,Hotel room,6,0.3087,690
大同區,Hotel room,7,0.4165,713
大同區,Hotel room,8,0.2539,713
大同區,Hotel room,9,0.3478,644
大同區,Hotel room,10,0.3478,713
大同區,Hotel room,11,0.3478,690
大同區,Hotel room,12,0.7826,713
大同區,Private room,1,1.0,46
大同區,Private room,2,0.4961,2538
大同區,Private room,3,0.2663,2542
大同區,Private room,4,0.2589,2460
大同區,Private room,5,0.3541,2542
大同區,Private room,6,0.2996,2460
大同區,Private room,7,0.2923,2542
大同區,Private room,8,0.5464,2542
大同區,Private room,9,0.5819,2296
大同區,Private room,10,0.5924,2542
大同區,Private room,11,0.7305,2460
大同區,Private room,12,0.7254,2542
大同區,Shared room,1,1.0,3
大同區,Shared room,2,0.1723,743
大同區,Shared room,3,0.0134,744
大同區,Shared room,4,0.0542,720
大同區,Shared room,5,0.0417,744
大同區,Shared room,6,0.0417,720
大同區,Shared room,7,0.0578,744
大同區,Shared room,8,0.0954,744
大同區,Shared room,9,0.0833,672
大同區,Shared room,10,0.1317,744
大同區,Shared room,11,0.4583,720
大同區,Shared room,12,0.5,744
大安區,Entire home/apt,1,1.0,357
大安區,Entire home/apt,2,0.62,22879
大安區,Entire home/apt,3,0.3014,22940
大安區,Entire home/apt,4,0.2052,22200
大安區,Entire home/apt,5,0.3396,22940
大安區,Entire home/apt,6,0.3424,22200
大安區,Entire home/apt,7,0.3725,22940
大安區,Entire home/apt,8,0.4551,22940
大安區,Entire home/apt,9,0.4437,20720
大安區,Entire home/apt,10,0.4602,22940
大安區,Entire home/apt,11,0.566,22200
大安區,Entire home/apt,12,0.5573,22940
大安區,Hotel room,1,1.0,1
大安區,Hotel room,2,0.8182,121
大安區,Hotel room,3,0.871,124
大安區,Hotel room,4,0.8,120
大安區,Hotel room,5,1.0,124
大安區,Hotel room,6,1.0,120
大安區,Hotel room,7,1.0,124
大安區,Hotel room,8,1.0,124
大安區,Hotel room,9,1.0,112
大安區,Hotel room,10,1.0,124
大安區,Hotel room,11,1.0,120
大安區,Hotel room,12,1.0,124
大安區,Private room,1,1.0,121
大安區,Private room,2,0.5722,12231
大安區,Private room,3,0.4012,12307
大安區,Private room,4,0.3797,11910
大安區,Private room,5,0.4142,12307
大安區,Private room,6,0.421,11910
大安區,Private room,7,0.3402,12307
大安區,Private room,8,0.3544,12307
大安區,Private room,9,0.3506,11116
大安區,Private room,10,0.3541,12307
大安區,Private room,11,0.4912,11910
大安區,Private room,12,0.4889,12307
大安區,Shared room,1,1.0,24
大安區,Shared room,2,0.27,1115
大安區,Shared room,3,0.2294,1116
大安區,Shared room,4,0.1139,1080
大安區,Shared room,5,0.1685,1116
大安區,Shared room,6,0.1676,1080
大安區,Shared room,7,0.1783,1116
大安區,Shared room,8,0.1801,1116
大安區,Shared room,9,0.1667,1008
大安區,Shared room,10,0.1918,1116
大安區,Shared room,11,0.363,1080
大安區,Shared room,12,0.3898,1116
文山區,Entire home/apt,1,1.0,46
文山區,Entire home/apt,2,0.5463,1426
文山區,Entire home/apt,3,0.2868,1426
文山區,Entire home/apt,4,0.229,1380
文山區,Entire home/apt,5,0.5863,1426
文山區,Entire home/apt,6,0.5442,1380
文山區,Entire home/apt,7,0.5547,1426
文山區,Entire home/apt,8,0.5631,1426
文山區,Entire home/apt,9,0.5753,1288
文山區,Entire home/apt,10,0.587,1426
文山區,Entire home/apt,11,0.6558,1380
文山區,Entire home/apt,12,0.6522,1426
文山區,Private room,1,1.0,37
文山區,Private room,2,0.5489,1177
文山區,Private room,3,0.2666,1178
文山區,Private room,4,0.2658,1140
文山區,Private room,5,0.5823,1178
文山區,Private room,6,0.5789,1140
文山區,Private room,7,0.5535,1178
文山區,Private room,8,0.5263,1178
文山區,Private room,9,0.4502,1064
文山區,Private room,10,0.4677,1178
文山區,Private room,11,0.6053,1140
文山區,Private room,12,0.6053,1178
文山區,Shared room,1,1.0,5
文山區,Shared room,2,0.129,155
文山區,Shared room,3,0.0774,155
文山區,Shared room,4,0.0733,150
文山區,Shared room,5,0.6258,155
文山區,Shared room,6,0.6267,150
文山區,Shared room,7,0.6516,155
文山區,Shared room,8,0.8258,155
文山區,Shared room,9,0.8286,140
文山區,Shared room,10,0.8129,155
文山區,Shared room,11,0.8133,150
文山區,Shared room,12,0.8129,155
松山區,Entire home/apt,1,1.0,142
松山區,Entire home/apt,2,0.559,6438
松山區,Entire home/apt,3,0.2757,6448
松山區,Entire home/apt,4,0.1502,6240
松山區,Entire home/apt,5,0.2156,6448
松山區,Entire home/apt,6,0.2421,6240
松山區,Entire home/apt,7,0.3545,6448
松山區,Entire home/apt,8,0.4746,6448
松山區,Entire home/apt,9,0.4468,5824
松山區,Entire home/apt,10,0.4451,6448
松山區,Entire home/apt,11,0.5288,6240
松山區,Entire home/apt,12,0.5312,6448
松山區,Hotel room,1,1.0,12
松山區,Hotel room,2,0.5507,552
松山區,Hotel room,3,0.3692,558
松山區,Hotel room,4,0.35,540
松山區,Hotel room,5,0.3817,558
松山區,Hotel room,6,0.3907,540
松山區,Hotel room,7,0.7133,558
松山區,Hotel room,8,1.0,558
松山區,Hotel room,9,1.0,504
松山區,Hotel room,10,1.0,558
松山區,Hotel room,11,1.0,540
松山區,Hotel room,12,1.0,558
松山區,Private room,1,1.0,24
松山區,Private room,2,0.3869,1424
松山區,Private room,3,0.1613,1426
松山區,Private room,4,0.1283,1380
松山區,Private room,5,0.2251,1426
松山區,Private room,6,0.208,1380
松山區,Private room,7,0.2644,1426
松山區,Private room,8,0.2735,1426
松山區,Private room,9,0.2391,1288
松山區,Private room,10,0.2672,1426
松山區,Private room,11,0.4565,1380
松山區,Private room,12,0.4565,1426
松山區,Shared room,1,1.0,1
松山區,Shared room,2,0.6452,31
松山區,Shared room,3,0.3548,31
松山區,Shared room,4,0.0667,30
松山區,Shared room,5,1.0,31
松山區,Shared room,6,1.0,30
松山區,Shared room,7,1.0,31
松山區,Shared room,8,1.0,31
松山區,Shared room,9,1.0,28
松山區,Shared room,10,1.0,31
松山區,Shared room,11,1.0,30
松山區,Shared room,12,1.0,31
萬華區,Entire home/apt,1,1.0,95
萬華區,Entire home/apt,2,0.4959,43749
萬華區,Entire home/apt,3,0.2301,43772
萬華區,Entire home/apt,4,0.1681,42360
萬華區,Entire home/apt,5,0.3534,43772
萬華區,Entire home/apt,6,0.3731,42360
萬華區,Entire home/apt,7,0.4631,43772
萬華區,Entire home/apt,8,0.6562,43772
萬華區,Entire home/apt,9,0.6565,39536
萬華區,Entire home/apt,10,0.6643,43772
萬華區,Entire home/apt,11,0.7768,42360
萬華區,Entire home/apt,12,0.7716,43772
萬華區,Hotel room,2,0.2661,124
萬華區,Hotel room,3,0.0726,124
萬華區,Hotel room,4,0.0083,120
萬華區,Hotel room,5,0.0323,124
萬華區,Hotel room,6,0.075,120
萬華區,Hotel room,7,0.0565,124
萬華區,Hotel room,8,0.0161,124
萬華區,Hotel room,9,0.0,112
萬華區,Hotel room,10,0.0,124
萬華區,Hotel room,11,0.0,120
萬華區,Hotel room,12,0.0,124
萬華區,Private room,1,1.0,14
萬華區,Private room,2,0.3753,6125
萬華區,Private room,3,0.23,6138
萬華區,Private room,4,0.2325,5940
萬華區,Private room,5,0.3902,6138
萬華區,Private room,6,0.3754,5940
萬華區,Private room,7,0.4567,6138
萬華區,Private room,8,0.5613,6138
萬華區,Private room,9,0.5799,5544
萬華區,Private room,10,0.6155,6138
萬華區,Private room,11,0.7657,5940
萬華區,Private room,12,0.7491,6138
萬華區,Shared room,2,0.0394,279
萬華區,Shared room,3,0.0108,279
萬華區,Shared room,4,0.0,270
萬華區,Shared room,5,0.0,279
萬華區,Shared room,6,0.0,270
萬華區,Shared room,7,0.129,279
萬華區,Shared room,8,0.0502,279
萬華區,Shared room,9,0.0278,252
萬華區,Shared room,10,0.0358,279
萬華區,Shared room,11,0.2222,270
萬華區,Shared room,12,0.2222,279
