項次,school,schoolname,postalcode,address,telephone,經度,緯度
143,國小,私立新民小學,106312,臺北市大安區龍坡里辛亥路1段113號,(02)23630450,121.531863241238,25.022384237974
144,國小,私立光仁小學,108356,臺北市萬華區壽德里萬大路423巷15號,(02)23032874,121.499738759128,25.021336709625
145,國小,私立靜心小學,116069,臺北市文山區興福里興隆路2段46號,(02)29323118,121.546672471588,24.998959961812
146,國小,私立中山小學,116005,臺北市文山區木柵路1段292號,(02)29360935,121.556327669675,24.988323913416
147,國小,私立再興小學,116009,臺北市文山區明義里興隆路4段2號,(02)29371118,121.559112221729,24.990447384767
148,國小,私立華興小學,111014,臺北市士林區芝山里仰德大道1段101號,(02)28316834,121.538208174304,25.104604086422
149,國小,私立薇閣小學,112009,臺北市北投區長安里育仁路106號,(02)28912668,121.501026638551,25.136015645757
150,國小,私立奎山中學附小,112040,臺北市北投區榮華里明德路200號,(02)28212009,121.522064125874,25.1129710279
151,國中,市立介壽國中,105028,臺北市松山區延壽街401號,(02)27674496,121.556529170627,25.056405880049
152,國中,市立民生國中,105065,臺北市松山區新東街30巷1號,(02)27653433,121.567329001412,25.059827582473
153,國中,市立中山國中,105004,臺北市松山區復興北路361巷7號,(02)27126701,121.545532700394,25.060539667057
154,國中,市立敦化國中,105039,臺北市松山區南京東路三段300號,(02)87717890,121.546792751898,25.051523840545
155,國中,市立興雅國中,110026,臺北市信義區松德路168巷15號,(02)27232771,121.572354622917,25.036437546386
156,國中,市立永吉國中,110059,臺北市信義區松隆路161號,(02)27649066,121.574140638846,25.048335741762
157,國中,市立瑠公國中,110036,臺北市信義區福德街221巷15號,(02)27261481,121.585327126824,25.037067614047
158,國中,市立信義國中,110016,臺北市信義區松仁路158巷1號,(02)27236771,121.567932079345,25.02860968701
159,國中,市立仁愛國中,106341,臺北市大安區仁愛路4段130號,(02)23255823,121.550682374067,25.037501042261
160,國中,市立大安國中,106350,臺北市大安區大安路二段63號,(02)27557131,121.546193613459,25.03076433904
161,國中,市立金華國中,106306,臺北市大安區新生南路二段32號,(02)33931799,121.533123376562,25.031201161924
162,國中,市立懷生國中,106345,臺北市大安區忠孝東路三段248巷30號,(02)27215078,121.54120897946,25.040364929028
163,國中,本市民族實中,106336,臺北市大安區羅斯福路4段113巷13號,(02)27322935,121.538831871719,25.011183919856
164,國中,市立龍門國中,106315,臺北市大安區建國南路2段269號,(02)27330299,121.538030394138,25.024899982393
165,國中,市立長安國中,104391,臺北市中山區松江路70巷11號,(02)25112382,121.531924680589,25.049413235415
166,國中,市立北安國中,104346,臺北市中山區明水路325號,(02)25333888,121.541624386581,25.077787905502
167,國中,市立新興國中,104313,臺北市中山區林森北路511號,(02)25714211,121.525788456912,25.062063580873
168,國中,市立五常國中,104362,臺北市中山區復興北路430巷1號,(02)25014320,121.543091974008,25.063489887427
169,國中,本市濱江實中,104353,臺北市中山區樂群二路262號,(02)85020126,121.560716266539,25.079597516488
170,國中,市立螢橋國中,100050,臺北市中正區汀州路3段4號,(02)23688667,121.526473090763,25.019062196379
171,國中,市立古亭國中,100065,臺北市中正區中華路2段465號,(02)23090986,121.510623163316,25.024663403176
172,國中,市立南門國中,100057,臺北市中正區廣州街6號,(02)23142775,121.509093633624,25.035229923686
173,國中,市立弘道國中,100006,臺北市中正區公園路21號,(02)23715520,121.515294565593,25.037544460519
174,國中,市立中正國中,100030,臺北市中正區愛國東路158號,(02)23916697,121.522080554404,25.032332844582
175,國中,市立建成國中,103313,臺北市大同區長安西路37-1號,(02)25587042,121.519697327874,25.050367179816
176,國中,市立忠孝國中,103301,臺北市大同區西寧北路32號,(02)25524890,121.508267010333,25.051233449509
177,國中,市立民權國中,103325,臺北市大同區重慶北路3段1號,(02)25931951,121.513914317598,25.063563731994
178,國中,市立蘭州國中,103339,臺北市大同區大龍街187巷1號,(02)25918269,121.516764583772,25.0693217642
179,國中,市立重慶國中,103348,臺北市大同區敦煌路19號,(02)25948631,121.517905696071,25.075930475758
180,國中,市立萬華國中,108333,臺北市萬華區西藏路201號,(02)23394567,121.498702085343,25.029159246492
181,國中,市立雙園國中,108336,臺北市萬華區興義街2號,(02)23030827,121.492722016523,25.027627956601
182,國中,市立龍山國中,108313,臺北市萬華區南寧路46號,(02)23362789,121.504597832218,25.036063881142
183,國中,市立木柵國中,116008,臺北市文山區木柵路3段102巷12號,(02)29393031,121.56768581903,24.987474281801
184,國中,市立實踐國中,116003,臺北市文山區辛亥路七段67號,(02)22362852,121.554738041737,24.983436090398
185,國中,市立北政國中,116011,臺北市文山區指南路3段2巷14號,(02)29393651,121.578270570179,24.984889302861
186,國中,市立景美國中,116066,臺北市文山區景中街27號,(02)89353130,121.542943027589,24.993013294876
187,國中,市立興福國中,116073,臺北市文山區福興路80號,(02)29322024,121.549743433273,25.004899294584
188,國中,市立景興國中,116065,臺北市文山區景興路46巷2號,(02)29323794,121.544345906723,24.996190119999
189,國中,市立誠正國中,115021,臺北市南港區富康街1巷24號,(02)27828094,121.618744852775,25.054112088426
190,國中,市立成德國中,115006,臺北市南港區東新街108巷23號,(02)26515636,121.587801632279,25.045061770382
191,國中,市立內湖國中,114028,臺北市內湖區陽光街1號,(02)27900843,121.5887226358,25.07699422309
192,國中,市立麗山國中,114008,臺北市內湖區內湖路1段629巷42號,(02)27991867,121.575182341773,25.081742194054
193,國中,市立三民國中,114059,臺北市內湖區民權東路6段45號,(02)27924772,121.586267743998,25.069167159996
194,國中,本市西湖實中,114003,臺北市內湖區環山路1段27號,(02)27991817,121.56567391081,25.085836502298
195,國中,市立東湖國中,114038,臺北市內湖區康樂街131號,(02)26330373,121.619504001746,25.072268170804
196,國中,市立明湖國中,114046,臺北市內湖區康寧路3段60號,(02)26320616,121.610694118594,25.070643799878
197,國中,市立士林國中,111010,臺北市士林區中正路345號,(02)88613411,121.52257173393,25.094350546177
198,國中,市立蘭雅國中,111027,臺北市士林區忠誠路2段51號,(02)28329377,121.531058075619,25.110582143585
199,國中,市立至善國中,111003,臺北市士林區至善路2段360號,(02)28411350,121.555476571226,25.103566616356
200,國中,市立格致國中,111092,臺北市士林區仰德大道4段75號,(02)28610079,121.546807839324,25.131109717829
201,國中,市立福安國中,111076,臺北市士林區延平北路7段250號,(02)28108766,121.487396239064,25.10335250064
202,國中,市立天母國中,111036,臺北市士林區天母東路120號,(02)28754864,121.538161738561,25.117974018267
203,國中,市立北投國中,112001,臺北市北投區溫泉路62號,(02)28912091,121.504323743984,25.134464742213
204,國中,市立新民國中,112003,臺北市北投區新民路10號,(02)28979001,121.50655148621,25.138878526696
205,國中,市立明德國中,112047,臺北市北投區明德路50號,(02)28232539,121.51831691224,25.1075596293
206,國中,市立桃源國中,112017,臺北市北投區中央北路4段48號,(02)28929633,121.477346420976,25.134704087458
207,國中,市立石牌國中,112031,臺北市北投區石牌路1段139號,(02)28224682,121.514179185738,25.115000077111
208,國中,市立關渡國中,112020,臺北市北投區知行路212號,(02)28581770,121.467357539324,25.119894060828
209,國中,私立立人國際國民中小學,106338,臺北市大安區安和路2段99號,(02)27361388,121.551892385609,25.029802557561
210,高中職,市立西松高中,105068,臺北市松山區健康路325巷7號,(02)25286618,121.567098582893,25.055571168221
211,高中職,市立中崙高中,105034,臺北市松山區八德路4段101號,(02)27535316,121.561069144663,25.04870475505
212,高中職,市立松山高中,110058,臺北市信義區基隆路1段156號,(02)27535968,121.565825120344,25.043878119925
213,高中職,市立永春高中,110034,臺北市信義區松山路654號,(02)27272983,121.578662172695,25.032709611129
214,高中職,國立師大附中,106348,臺北市大安區信義路3段143號,(02)27075215,121.540396437766,25.033675038737
215,高中職,市立和平高中,106323,臺北市大安區臥龍街100號,(02)27324300,121.549145971215,25.019638829408
216,高中職,本市芳和實中,106322,臺北市大安區臥龍街170號,(02)27321961,121.550305858976,25.018702948009
217,高中職,市立中山女中,104102,臺北市中山區長安東路2段141號,(02)25073148,121.537161358417,25.04853158493
218,高中職,市立大同高中,104372,臺北市中山區長春路167號,(02)25054269,121.535108462691,25.054986279018
219,高中職,市立大直高中,104344,臺北市中山區北安路420號,(02)25334017,121.542850072283,25.07943201581
220,高中職,市立建國高中,100052,臺北市中正區南海路56號,(02)23034381,121.512177419622,25.031210046742
221,高中職,市立成功高中,100025,臺北市中正區濟南路1段71號,(02)23216256,121.523811082134,25.042394481153
222,高中職,市立北一女中,100006,臺北市中正區重慶南路1段165號,(02)23820484,121.513014855568,25.038606447651
223,高中職,本市數位實中,104089,臺北市中山區吉林路110號5樓,(02)25625101,121.529985024375,25.053815033778
224,高中職,市立明倫高中,103332,臺北市大同區承德路3段336號,(02)25961567,121.519889524914,25.075532670634
225,高中職,市立成淵高中,103345,臺北市大同區承德路2段235號,(02)25531969,121.518527214191,25.061274885694
226,高中職,市立華江高中,108333,臺北市萬華區西藏路213號,(02)23019946,121.496168738928,25.028526496621
227,高中職,市立大理高中,108324,臺北市萬華區長順街2號,(02)23026959,121.491298517907,25.030891576331
228,高中職,市立景美女中,116020,臺北市文山區木新路3段312號,(02)29368847,121.556228344122,24.980741727623
229,高中職,市立萬芳高中,116078,臺北市文山區興隆路3段115巷1號,(02)22309585,121.558781136553,25.000558767934
230,高中職,國立政大附中,116016,臺北市文山區政大一街353號,(02)82377500,121.585971024626,24.987212724512
231,高中職,市立南港高中,115304,臺北市南港區向陽路21號,(02)27837863,121.595048122851,25.052482772177
232,高中職,市立育成高中,115010,臺北市南港區重陽路366號,(02)26530475,121.609168444578,25.058684039423
233,高中職,市立內湖高中,114053,臺北市內湖區文德路218號,(02)27977035,121.586521883303,25.07840267619
234,高中職,市立麗山高中,114012,臺北市內湖區環山路2段100號,(02)26570435,121.577927750339,25.084112051448
235,高中職,市立南湖高中,114046,臺北市內湖區康寧路3段220號,(02)26308889,121.611129558464,25.066902327848
236,高中職,市立陽明高中,111061,臺北市士林區中正路510號,(02)28316675,121.517205639517,25.09185102074
237,高中職,市立百齡高中,111052,臺北市士林區承德路4段177號,(02)28831568,121.523099374735,25.0869582524
238,高中職,市立復興高中,112056,臺北市北投區復興四路70號,(02)28914131,121.50180498208,25.143704575088
239,高中職,市立中正高中,112046,臺北市北投區文林北路77號,(02)28234811,121.516566016486,25.104496756152
240,高中職,市立松山家商,110035,臺北市信義區松山路655號,(02)27261118,121.580163958287,25.0348296459
241,高中職,市立松山工農,110070,臺北市信義區忠孝東路5段236巷15號,(02)27226616,121.572041139739,25.039852501377
242,高中職,市立大安高工,106317,臺北市大安區復興南路2段52號,(02)27091630,121.543303365607,25.031972255107
243,高中職,市立木柵高工,116027,臺北市文山區木柵路4段77號,(02)22300506,121.571876183884,24.995887994299
244,高中職,市立南港高工,115306,臺北市南港區興中路29號,(02)27825432,121.60719190799,25.056334717691
245,高中職,市立內湖高工,114064,臺北市內湖區內湖路1段520號,(02)26574874,121.575447796646,25.079736949447
246,高中職,市立士林高商,111081,臺北市士林區士商路150號,(02)28313114,121.516346913537,25.094992348503
247,高中職,私立協和祐德高中,110040,臺北市信義區忠孝東路5段790巷27號,(02)27263131,121.583481180288,25.042623181382
248,高中職,私立延平高中,106347,臺北市大安區建國南路1段275號,(02)27071478,121.538356450171,25.036337843647
249,高中職,私立金甌女中,106301,臺北市大安區杭州南路2段1號,(02)23214765,121.524239313567,25.034929809642
250,高中職,私立復興實驗高中,106343,臺北市大安區敦化南路1段262號,(02)27715859,121.54844004733,25.039328213334
251,高中職,私立大同高中,104327,臺北市中山區中山北路3段40號,(02)25858785,121.522209551894,25.066840134127
252,高中職,私立新民高中,100049,臺北市中正區汀州路2段143號,(02)23656574,121.520168223195,25.024863521114
253,高中職,私立靜修高中,103324,臺北市大同區寧夏路59號,(02)25574345,121.515369499808,25.057910641217
254,高中職,私立東山高中,116026,臺北市文山區老泉街26巷3號,(02)29395826,121.560949954,24.97418012236
255,高中職,私立滬江高中,116056,臺北市文山區羅斯福路6段336號,(02)86631122,121.539165890561,24.989781274921
256,高中職,私立大誠高中,116012,臺北市文山區秀明路2段175號,(02)22348989,121.578217764189,24.990979845166
257,高中職,私立再興中學,116009,臺北市文山區興隆路4段2號,(02)29366803,121.559112221729,24.990447384767
258,高中職,私立景文高中,116010,臺北市文山區保儀路127號,(02)29390310,121.567393793523,24.985369124909
259,高中職,私立靜心高中,116069,臺北市文山區興隆路2段46號,(02)29323118,121.546672471588,24.998959961812
260,高中職,私立達人高中,114024,臺北市內湖區內湖路2段314號,(02)27956899,121.587630054721,25.081257594322
261,高中職,私立泰北高中,111005,臺北市士林區福林路240號,(02)28825560,121.534036333456,25.097467817877
262,高中職,私立衛理女中,111003,臺北市士林區至善路2段321號,(02)28411487,121.552264709748,25.101724609314
263,高中職,私立華興高中,111014,臺北市士林區仰德大道1段101號,(02)28316834,121.538208174304,25.104604086422
264,高中職,私立薇閣高中,112014,臺北市北投區珠海路50號,(02)28925332,121.504568747014,25.139957571002
265,高中職,私立幼華高中,112028,臺北市北投區北投路二段55號,(02)28921166,121.496722279813,25.133622109487
266,高中職,私立奎山實驗高中,112040,臺北市北投區明德路200號,(02)28212009,121.522064125874,25.1129710279
267,高中職,私立育達高中,105036,臺北市松山區寧安街12號,(02)25706767,121.554349037611,25.049639504892
268,高中職,私立東方工商,106337,臺北市大安區信義路4段186巷8號,(02)27554616,121.551491479181,25.032144838493
269,高中職,私立喬治工商,110005,臺北市信義區基隆路2段155號,(02)27386515,121.554378458091,25.025775388361
270,高中職,私立開平餐飲,106318,臺北市大安區復興南路2段148巷24號,(02)27556939,121.542399712625,25.028532363953
271,高中職,私立稻江護家,104332,臺北市中山區新生北路3段55號,(02)25955161,121.528582480517,25.065374013533
272,高中職,私立開南高中,100026,臺北市中正區濟南路一段6號,(02)23212666,121.521837227755,25.042417405659
273,高中職,私立稻江高商,103041,臺北市大同區民權西路225巷24號,(02)25912001,121.512039369676,25.064340357233
274,高中職,私立華岡藝校,111095,臺北市士林區建業路73巷8號,(02)28612354,121.548963664821,25.137097246543
275,高中職,私立惇敘工商,112007,臺北市北投區泉源路221號,(02)28912630,121.527059991624,25.144726622451
276,高中職,私立南華高中,100047,臺北市中正區汀州路3段58號,(02)23686818,121.531050028992,25.015646654654
277,高中職,私立志仁高中,103014,臺北市大同區南京西路64巷17號,(02)25551656,121.518733220461,25.052190882727
278,特教學校,臺北市立啟聰學校,103036,臺北市大同區重慶北路三段320號,(02)25924446,121.513589099754,25.074697833077
279,特教學校,臺北市立臺北特殊教育學校,111036,臺北市士林區忠誠路二段207巷3號,(02)28749117,121.536363065958,25.116550813018
280,特教學校,臺北市立啟明學校,111036,臺北市士林區忠誠路二段207巷1號,(02)28740670,121.535223127126,25.116545029504
281,特教學校,臺北市立文山特殊教育學校,116025,臺北市文山區秀明路一段169號,(02)86615183,121.567646591723,24.991439802102
282,市立大專校院,臺北市立大學（博愛校區）,100234,臺北市中正區愛國西路1號,(02)23113040,121.513580214937,25.035559164842
283,市立大專校院,臺北市立大學（天母校區）,111036,臺北市士林區忠誠路二段101號,(02)28718288,121.536531374574,25.116240305415
