項次,出入口名稱,出入口編號,經度,緯度,是否為無障礙用
1,頂埔站出口1,1,121.4183364,24.9593267,是
2,頂埔站出口2,2,121.4183575,24.95894725,否
3,頂埔站出口3,3,121.4192802,24.95950272,是
4,頂埔站出口4,4,121.4199687,24.96025528,是
5,松山機場站出口1,1,121.5520427,25.0636308,是
6,松山機場站出口2,2,121.5509869,25.0635351,是
7,松山機場站出口3,3,121.5518415,25.0631707,是
8,中山國中站出口,0,121.5439794,25.06082643,是
9,忠孝復興站出口1,1,121.543143,25.041797,否
10,忠孝復興站出口2,2,121.543517,25.041206,是
11,忠孝復興站出口3,3,121.544806,25.041467,否
12,忠孝復興站出口4,4,121.54506,25.041772,否
13,忠孝復興站出口5,5,121.543985,25.04202,否
14,大安站出口1,1,121.5420001,25.03360186,否
15,大安站出口2,2,121.5415899,25.03364917,否
16,大安站出口3,3,121.54233,25.033241,是
17,大安站出口4,4,121.5439764,25.0331244,是
18,大安站出口5,5,121.543719,25.032862,否
19,大安站出口6,6,121.543749,25.034006,否
20,科技大樓站出口1,1,121.543636,25.026154,是
21,科技大樓站出口2,2,121.541667,25.025833,是
22,六張犁站出口,0,121.552737,25.023852,是
23,麟光站出口,0,121.558606,25.018554,是
24,辛亥站出口,0,121.557021,25.005119,是
25,萬芳醫院站出口,0,121.557737,24.999383,是
26,萬芳社區站出口,0,121.5684087,24.99858101,是
27,木柵站出口,0,121.573417,24.998174,是
28,動物園站出口1,1,121.579942,24.9982988,是
29,動物園站出口2,2,121.579321,24.997971,是
30,大直站出口1,1,121.5469257,25.08036069,是
31,大直站出口2,2,121.546823,25.079584,否
32,大直站出口3,3,121.5470127,25.07943891,是
33,劍南路站出口1,1,121.5553542,25.08548437,是
34,劍南路站出口2,2,121.5552019,25.08459783,是
35,劍南路站出口3,3,121.5560658,25.08432308,否
36,西湖站出口1,1,121.566647,25.082339,是
37,西湖站出口2,2,121.567141,25.082023,是
38,港墘站出口1,1,121.5758005,25.08013028,是
39,港墘站出口2,2,121.574704,25.080065,是
40,文德站出口1,1,121.58564,25.078671,是
41,文德站出口2,2,121.5845981,25.07835342,是
42,內湖站出口1,1,121.594266,25.083745,是
43,內湖站出口2,2,121.594612,25.083636,是
44,大湖公園站出口1,1,121.602377,25.083894,是
45,大湖公園站出口2,2,121.60221,25.083675,是
46,葫洲站出口1,1,121.6080683,25.0725096,是
47,葫洲站出口2,2,121.607197,25.072534,是
48,東湖站出口1,1,121.6108991,25.067189,是
49,東湖站出口2,2,121.6112963,25.06718485,是
50,東湖站出口3,3,121.6119635,25.06706398,是
51,南港軟體園區站出口1,1,121.6158607,25.06038509,是
52,南港軟體園區站出口2,2,121.6163342,25.06012071,是
53,南港展覽館站出口1,1,121.6170736,25.0557844,是
54,南港展覽館站出口2,2,121.6171863,25.05540682,是
55,南港展覽館站出口3,3,121.618239,25.055123,是
56,南港展覽館站出口4,4,121.6182634,25.055356,是
57,南港展覽館站出口2A,2A,121.6171997,25.05533633,是
58,南港展覽館站出口5,5,121.616861,25.054917,是
59,南港展覽館站出口6,6,121.6179283,25.05476367,否
60,南港展覽館站出口7,7,121.618148,25.054035,否
61,小碧潭站出口1,1,121.529896,24.971803,是
62,小碧潭站出口2,2,121.52995,24.973192,是
63,新店站出口,0,121.53758,24.95784,是
64,新店區公所站出口1,1,121.541124,24.967393,是
65,新店區公所站出口2,2,121.541727,24.967985,否
66,七張站出口1,1,121.543068,24.975025,是
67,七張站出口2,2,121.542641,24.97691,否
68,大坪林站出口1,1,121.540874,24.982754,否
69,大坪林站出口2,2,121.541619,24.982051,否
70,大坪林站出口3,3,121.541572,24.982982,是
71,大坪林站出口4,4,121.541405,24.983539,否
72,大坪林站出口5,5,121.543209,24.982859,是
73,景美站出口1,1,121.5406932,24.99213264,是
74,景美站出口2,2,121.541517,24.993069,否
75,景美站出口3,3,121.540546,24.992744,否
76,萬隆站出口1,1,121.538896,25.001367,否
77,萬隆站出口2,2,121.5395617,25.0015087,否
78,萬隆站出口3,3,121.539195,25.002215,否
79,萬隆站出口4,4,121.538572,25.002676,是
80,公館站出口1,1,121.534377,25.014509,是
81,公館站出口2,2,121.534721,25.014718,是
82,公館站出口3,3,121.534025,25.015421,否
83,公館站出口4,4,121.533623,25.015148,否
84,台電大樓站出口1,1,121.528577,25.01962,否
85,台電大樓站出口2,2,121.529093,25.020192,否
86,台電大樓站出口3,3,121.527849,25.021179,否
87,台電大樓站出口4,4,121.527297,25.021018,否
88,台電大樓站出口5,5,121.527739,25.020758,是
89,古亭站出口1,1,121.522973,25.025976,是
90,古亭站出口2,2,121.523353,25.025502,否
91,古亭站出口3,3,121.523477,25.0259191,否
92,古亭站出口4,4,121.5229835,25.02655858,否
93,古亭站出口5,5,121.522873,25.027184,否
94,古亭站出口6,6,121.522297,25.027537,否
95,古亭站出口7,7,121.5217067,25.02772736,否
96,古亭站出口8,8,121.521894,25.027056,否
97,古亭站出口9,9,121.522404,25.026798,否
98,中正紀念堂站出口1,1,121.517599,25.033345,是
99,中正紀念堂站出口2,2,121.518261,25.032406,否
100,中正紀念堂站出口3,3,121.519,25.032281,否
101,中正紀念堂站出口4,4,121.51796,25.033525,否
102,中正紀念堂站出口5,5,121.5170711,25.0352207,是
103,中正紀念堂站出口6,6,121.516543,25.03588,否
104,中正紀念堂站出口7,7,121.515983,25.034565,否
105,小南門站出口1,1,121.509752,25.036434,否
106,小南門站出口2,2,121.509865,25.035736,否
107,小南門站出口3,3,121.510988,25.035309,是
108,小南門站出口4,4,121.511455,25.035226,否
109,頂溪站出口1,1,121.515414,25.012895,是
110,頂溪站出口2,2,121.515446,25.014222,否
111,永安市場站出口,0,121.510962,25.002375,是
112,景安站出口,0,121.50456,24.993731,是
113,南勢角站出口1,1,121.507876,24.99052883,否
114,南勢角站出口2,2,121.50872,24.990161,否
115,南勢角站出口3,3,121.508946,24.990061,是
116,南勢角站出口4,4,121.509776,24.989486,否
117,台大醫院站出口1,1,121.515731,25.040913,是
118,台大醫院站出口2,2,121.516589,25.041224,是
119,台大醫院站出口3,3,121.516632,25.042808,是
120,台大醫院站出口4,4,121.516299,25.042876,否
121,台北車站M5,M5,121.516246,25.046755,否
122,台北車站M6,M6,121.516787,25.046234,否
123,台北車站M7,M7,121.518643,25.046077,否
124,台北車站M8,M8,121.517479,25.045948,否
125,台北車站M1,M1,121.518193,25.048232,否
126,台北車站M2,M2,121.51908,25.048159,是
127,台北車站M3,M3,121.517882,25.046337,否
128,台北車站M4,M4,121.517345,25.046485,是
129,雙連站出口1,1,121.520588,25.057499,否
130,雙連站出口2,2,121.520615,25.057825,是
131,民權西路站出口1,1,121.519454,25.062641,是
132,民權西路站出口4,4,121.519867,25.061936,否
133,民權西路站出口3,3,121.51983,25.061704,否
134,民權西路站出口2,2,121.51963,25.061846,否
135,民權西路站出口5,5,121.5187721,25.06324045,否
136,民權西路站出口6,6,121.5188804,25.06273597,否
137,民權西路站出口7,7,121.520172,25.062699,否
138,民權西路站出口8,8,121.520563,25.062686,否
139,民權西路站出口9,9,121.520591,25.062952,否
140,民權西路站出口10,10,121.520129,25.062967,是
141,圓山站出口1,1,121.520033,25.070785,是
142,圓山站出口2,2,121.520108,25.071776,是
143,劍潭站出口1,1,121.525175,25.08503,是
144,劍潭站出口2,2,121.524751,25.083273,是
145,劍潭站出口3,3,121.52496,25.084284,是
146,士林站出口1,1,121.525966,25.094106,是
147,士林站出口2,2,121.52644,25.09286,是
148,芝山站出口1,1,121.522636,25.102046,是
149,芝山站出口2,2,121.522335,25.10384024,是
150,明德站出口1,1,121.519153,25.109298,是
151,明德站出口2,2,121.518728,25.110008,是
152,明德站出口3,3,121.518538,25.109964,是
153,石牌站出口1,1,121.5152545,25.1149633,是
154,石牌站出口2,2,121.51625,25.11352,是
155,唭哩岸站出口1,1,121.5069183,25.12070935,是
156,唭哩岸站出口2,2,121.50589,25.120854,是
157,奇岩站出口1,1,121.5009856,25.12611852,是
158,奇岩站出口2,2,121.5010854,25.1250223,是
159,奇岩站出口3,3,121.5012611,25.1251407,是
160,北投站出口1,1,121.4981189,25.1323269,是
161,北投站出口2,2,121.499194,25.131025,是
162,新北投站出口1,1,121.503524,25.136968,是
163,新北投站出口2,2,121.502455,25.136834,否
164,復興崗站出口1,1,121.4854068,25.137665,是
165,復興崗站出口2,2,121.485126,25.137329,是
166,忠義站出口1,1,121.473169,25.131056,是
167,忠義站出口2,2,121.4736461,25.1309851,是
168,關渡站出口1,1,121.467215,25.125431,是
169,關渡站出口2,2,121.466861,25.12547,是
170,竹圍站出口1,1,121.459713,25.136949,是
171,竹圍站出口2,2,121.459383,25.136854,是
172,紅樹林站出口1,1,121.4590331,25.15449713,是
173,紅樹林站出口2,2,121.458733,25.154597,否
174,淡水站出口1,1,121.445502,25.168266,是
175,淡水站出口2,2,121.4457904,25.16776197,是
176,淡水站出口3,3,121.445573,25.167601,否
177,永寧站出口1,1,121.4355625,24.966641,是
178,永寧站出口2,2,121.435795,24.966019,是
179,永寧站出口3,3,121.437111,24.967252,否
180,永寧站出口4,4,121.436866,24.96753917,否
181,土城站出口1,1,121.444173,24.973251,是
182,土城站出口2,2,121.443671,24.972663,否
183,土城站出口3,3,121.445266,24.973714,否
184,海山站出口1,1,121.4486097,24.9853885,否
185,海山站出口2,2,121.4488709,24.9853326,是
186,海山站出口3,3,121.4492224,24.9863003,否
187,亞東醫院站出口1,1,121.452581,24.998933,否
188,亞東醫院站出口2,2,121.452388,24.998252,否
189,亞東醫院站出口3,3,121.45287,24.998875,是
190,府中站出口1,1,121.459077,25.008486,是
191,府中站出口2,2,121.459501,25.008943,否
192,府中站出口3,3,121.45897,25.009162,否
193,板橋站出口1,1,121.461838,25.0133143,否
194,板橋站出口2,2,121.462603,25.013221,否
195,板橋站出口3,3,121.462653,25.014442,是
196,新埔站出口1,1,121.467496,25.023087,否
197,新埔站出口2,2,121.468176,25.0222,否
198,新埔站出口3,3,121.468562,25.022942,否
199,新埔站出口4,4,121.468728,25.023638,是
200,新埔站出口5,5,121.468138,25.024163,是
201,江子翠站出口1,1,121.471914,25.030298,否
202,江子翠站出口2,2,121.471903,25.029782,否
203,江子翠站出口3,3,121.472156,25.029459,是
204,江子翠站出口4,4,121.472719,25.029763,否
205,江子翠站出口5,5,121.4734263,25.03098798,否
206,江子翠站出口6,6,121.4730606,25.03120599,否
207,龍山寺站出口1,1,121.49953,25.035484,是
208,龍山寺站出口2,2,121.499798,25.035109,否
209,龍山寺站出口3,3,121.501622,25.035421,否
210,善導寺站出口1,1,121.523009,25.045097,否
211,善導寺站出口2,2,121.523053,25.044796,否
212,善導寺站出口3,3,121.523734,25.044568,是
213,善導寺站出口4,4,121.524217,25.044111,否
214,善導寺站出口5,5,121.52482,25.044256,否
215,善導寺站出口6,6,121.524898,25.044632,否
216,忠孝新生站出口2,2,121.532065,25.042103,是
217,忠孝新生站出口3,3,121.53368,25.041783,是
218,忠孝新生站出口4,4,121.533213,25.042458,否
219,忠孝新生站出口1,1,121.531829,25.042784,否
220,忠孝新生站出口5,5,121.5323987,25.0410441,否
221,忠孝新生站出口6,6,121.533068,25.040791,否
222,忠孝新生站出口7,7,121.533068,25.041729,否
223,忠孝敦化站出口1,1,121.550578,25.041642,否
224,忠孝敦化站出口2,2,121.551694,25.041632,是
225,忠孝敦化站出口3,3,121.551586,25.04134,否
226,忠孝敦化站出口4,4,121.550567,25.04135,否
227,忠孝敦化站出口5,5,121.549824,25.041238,否
228,忠孝敦化站出口6,6,121.549174,25.041029,否
229,忠孝敦化站出口7,7,121.549913,25.041661,否
230,忠孝敦化站出口8,8,121.549194,25.041928,否
231,國父紀念館站出口1,1,121.556663,25.041838,否
232,國父紀念館站出口2,2,121.556704,25.041029,否
233,國父紀念館站出口3,3,121.557981,25.041195,否
234,國父紀念館站出口4,4,121.558539,25.04117,是
235,國父紀念館站出口5,5,121.558002,25.041501,是
236,市政府站出口1,1,121.565459,25.041408,否
237,市政府站出口2,2,121.565062,25.040971,是
238,市政府站出口3,3,121.567149,25.040903,否
239,市政府站出口4,4,121.567181,25.041263,否
240,永春站出口1,1,121.57512,25.040995,否
241,永春站出口2,2,121.575383,25.040704,否
242,永春站出口3,3,121.576155,25.040704,否
243,永春站出口4,4,121.576574,25.040699,否
244,永春站出口5,5,121.576622,25.040961,是
245,後山埤站出口1,1,121.58141,25.044422,否
246,後山埤站出口2,2,121.581854,25.043703,否
247,後山埤站出口3,3,121.583277,25.045232,是
248,後山埤站出口4,4,121.582441,25.045653,否
249,昆陽站出口1,1,121.592726,25.050319,是
250,昆陽站出口2,2,121.592825,25.050402,否
251,昆陽站出口3,3,121.59363,25.050599,否
252,昆陽站出口4,4,121.593799,25.050572,是
253,南港站出口1,1,121.606357,25.051911,否
254,南港站出口2,2,121.60743,25.052025,是
255,象山站出口1,1,121.569334,25.0330078,是
256,象山站出口2,2,121.569921,25.032375,是
257,象山站出口3,3,121.57062,25.032974,否
258,台北101/世貿站出口1,1,121.561671,25.033107,否
259,台北101/世貿站出口2,2,121.5619435,25.03284073,否
260,台北101/世貿站出口3,3,121.563646,25.032742,是
261,台北101/世貿站出口4,4,121.564112,25.033034,是
262,台北101/世貿站出口5,5,121.563292,25.033102,是
263,信義安和站出口1,1,121.552602,25.033377,否
264,信義安和站出口2,2,121.552332,25.033032,否
265,信義安和站出口2A,2A,121.552582,25.032848,是
266,信義安和站出口3,3,121.553282,25.033022,否
267,信義安和站出口4,4,121.5534,25.033022,否
268,信義安和站出口5,5,121.553526,25.033326,是
269,大安森林公園站出口1,1,121.534442,25.033693,否
270,大安森林公園站出口2,2,121.534487,25.033391,否
271,大安森林公園站出口3,3,121.534882,25.033396,否
272,大安森林公園站出口4,4,121.535292,25.033391,是
273,大安森林公園站出口5,5,121.535989,25.033369,是
274,大安森林公園站出口6,6,121.535952,25.033654,是
275,輔大站出口1,1,121.435264,25.032932,是
276,輔大站出口2,2,121.435277,25.032315,是
277,輔大站出口3,3,121.436541,25.032776,否
278,輔大站出口4,4,121.436534,25.0330162,否
279,新莊站出口1,1,121.4524435,25.03630271,是
280,新莊站出口2,2,121.4525,25.036014,是
281,頭前庄站出口1,1,121.460303,25.039844,是
282,頭前庄站出口2,2,121.460931,25.039068,否
283,頭前庄站出口3,3,121.462247,25.039853,否
284,頭前庄站出口4,4,121.46227,25.04026,否
285,先嗇宮站出口1,1,121.471319,25.046497,是
286,先嗇宮站出口2,2,121.4711596,25.0460821,否
287,先嗇宮站出口3,3,121.471789,25.04629545,否
288,三重站出口1,1,121.4833034,25.05535171,是
289,三重站出口2,2,121.4844522,25.05561671,否
290,三重站出口3,3,121.4849832,25.05613362,否
291,菜寮站出口1,1,121.490673,25.05971,否
292,菜寮站出口2,2,121.491106,25.059287,是
293,菜寮站出口3,3,121.492111,25.060556,否
294,台北橋站出口,0,121.500281,25.062966,是
295,大橋頭站出口1,1,121.512319,25.06318,是
296,大橋頭站出口1A,1A,121.5117348,25.06333204,否
297,大橋頭站出口2,2,121.513258,25.063195,否
298,大橋頭站出口3,3,121.51344,25.063739,否
299,中山國小站出口1,1,121.526095,25.06284,否
300,中山國小站出口2,2,121.526148,25.062461,否
301,中山國小站出口3,3,121.527114,25.062476,否
302,中山國小站出口4,4,121.526835,25.062835,是
303,行天宮站出口1,1,121.533047,25.05810168,否
304,行天宮站出口2,2,121.533342,25.058792,是
305,行天宮站出口3,3,121.533393,25.059868,否
306,行天宮站出口4,4,121.532991,25.060365,否
307,東門站出口1,1,121.527994,25.034157,否
308,東門站出口2,2,121.527565,25.03422,否
309,東門站出口3,3,121.527854,25.033676,否
310,東門站出口4,4,121.528879,25.033646,否
311,東門站出口5,5,121.529506,25.033564,否
312,東門站出口6,6,121.529957,25.033924,否
313,東門站出口7,7,121.529678,25.033962,否
314,東門站出口8,8,121.528965,25.034074,是
315,蘆洲站出口1,1,121.4647333,25.0913266,否
316,蘆洲站出口2,2,121.4648924,25.0917076,是
317,蘆洲站出口3,3,121.4642624,25.0918704,否
318,三民高中站出口1,1,121.472714,25.085692,是
319,三民高中站出口2,2,121.473548,25.085637,否
320,徐匯中學站出口1,1,121.47988,25.080303,否
321,徐匯中學站出口2,2,121.480583,25.080332,是
322,三和國中站出口1,1,121.486398,25.076586,是
323,三和國中站出口2,2,121.486484,25.076984,否
324,三重國小站出口,0,121.4967021,25.0706459,是
325,迴龍站出口1,1,121.411195,25.021829,是
326,迴龍站出口2,2,121.41077,25.02118,否
327,迴龍站出口3,3,121.4125638,25.0225398,否
328,丹鳳站出口1,1,121.42231,25.02899,否
329,丹鳳站出口2,2,121.422615,25.028742,是
330,南京復興站出口1,1,121.542121,25.052625,是
331,南京復興站出口2,2,121.541863,25.051748,是
332,南京復興站出口3,3,121.543087,25.05178085,否
333,南京復興站出口4,4,121.5431633,25.0517841,否
334,南京復興站出口5,5,121.544338,25.051727,否
335,南京復興站出口6,6,121.5449255,25.05195456,否
336,南京復興站出口8,8,121.543819,25.052018,否
337,南京復興站出口7,7,121.5445925,25.0524873,是
338,中山站出口1,1,121.520303,25.052414,否
339,中山站出口4,4,121.520306,25.052858,是
340,中山站出口2,2,121.521063,25.052382,否
341,中山站出口3,3,121.521154,25.052611,否
342,中山站出口5,5,121.519329,25.053037,是
343,中山站出口6,6,121.519007,25.052833,是
344,西門站出口1,1,121.507566,25.042137,否
345,西門站出口2,2,121.508435,25.041545,否
346,西門站出口3,3,121.508888,25.041789,否
347,西門站出口4,4,121.509006,25.042203,是
348,西門站出口5,5,121.508789,25.042935,否
349,西門站出口6,6,121.507602,25.042573,是
350,松江南京站出口1,1,121.532388,25.051842,是
351,松江南京站出口2,2,121.532875,25.051342,是
352,松江南京站出口3,3,121.53287,25.051085,否
353,松江南京站出口4,4,121.53324,25.051624,否
354,松江南京站出口5,5,121.534081,25.051882,否
355,松江南京站出口6,6,121.533808,25.052205,否
356,松江南京站出口7,7,121.533195,25.05247,否
357,松江南京站出口8,8,121.532826,25.05257,是
358,北門站出口1,1,121.509986,25.048861,否
359,北門站出口2,2,121.510506,25.049583,是
360,北門站出口3,3,121.510227,25.049943,是
361,台北小巨蛋站出口1,1,121.55153,25.051836,是
362,台北小巨蛋站出口2,2,121.550715,25.051571,是
363,台北小巨蛋站出口3,3,121.552549,25.05152,是
364,台北小巨蛋站出口4,4,121.552898,25.051534,否
365,台北小巨蛋站出口5,5,121.552069,25.051838,否
366,南京三民站出口1,1,121.563203,25.051633,是
367,南京三民站出口2,2,121.563073,25.051215,是
368,南京三民站出口3,3,121.564595,25.051328,否
369,南京三民站出口4,4,121.56471,25.051588,否
370,松山站出口1,1,121.577022,25.050171,否
371,松山站出口2,2,121.576244,25.050171,否
372,松山站出口3,3,121.577533,25.049939,是
373,松山站出口4,4,121.577971,25.049799,否
374,松山站出口5,5,121.577782,25.050559,是
375,十四張站出口,0,121.527701,24.984467,是
376,秀朗橋站出口1,1,121.5253895,24.99053445,否
377,秀朗橋站出口2,2,121.52494,24.99054002,是
378,景平站出口,0,121.51625,24.991926,是
379,中和站出口,0,121.4964906,25.00221178,是
380,橋和站出口,0,121.490278,25.004803,是
381,中原站出口,0,121.4841593,25.0084104,是
382,板新站出口,0,121.4722124,25.0144914,是
383,板橋站出口4,4,121.464938,25.015105,是
384,板橋站出口5,5,121.464312,25.015502,是
385,新埔民生站出口,0,121.466839,25.026125,是
386,幸福站出口1,1,121.460146,25.050126,是
387,幸福站出口2,2,121.4602357,25.04975928,否
388,新北產業園區站出口,0,121.459774,25.061564,是
